trial_type,vertex,chromo,spatial_act
Stim C3,184,HbR,-5.874664921693131e-18
Stim C3,185,HbO,9.80688126451265e-21
Stim C3,185,HbR,-3.9227525058050604e-21
Stim C3,186,HbO,1.529913522007784e-17
Stim C3,186,HbR,-6.1196540880311354e-18
Stim C3,187,HbO,2.4486083489004616e-18
Stim C3,187,HbR,-9.794433395601848e-19
Stim C3,188,HbO,1.751046563114039e-19
Stim C3,188,HbR,-7.004186252456157e-20
Stim C3,189,HbO,3.8130619712134897e-23
Stim C3,189,HbR,-1.5252247884853958e-23
Stim C3,190,HbO,1.8048913776444314e-23
Stim C3,190,HbR,-7.219565510577725e-24
Stim C3,191,HbO,2.9882357973752355e-23
Stim C3,191,HbR,-1.1952943189500943e-23
Stim C3,192,HbO,1.2088280894101423e-22
Stim C3,192,HbR,-4.8353123576405686e-23
Stim C3,193,HbO,1.3014216653309503e-22
Stim C3,193,HbR,-5.2056866613238017e-23
Stim C3,194,HbO,6.223617215679197e-23
Stim C3,194,HbR,-2.489446886271679e-23
Stim C3,195,HbO,1.2401489313684061e-11
Stim C3,195,HbR,-4.960595725473624e-12
Stim C3,196,HbO,3.209271665106607e-11
Stim C3,196,HbR,-1.2837086660426432e-11
Stim C3,197,HbO,2.4571072411003636e-11
Stim C3,197,HbR,-9.828428964401455e-12
Stim C3,198,HbO,5.0736538151826206e-11
Stim C3,198,HbR,-2.0294615260730486e-11
Stim C3,199,HbO,8.431204334498598e-13
Stim C3,199,HbR,-3.372481733799439e-13
Stim C3,200,HbO,1.4452012540495292e-12
Stim C3,200,HbR,-5.780805016198119e-13
Stim C3,201,HbO,1.544966463949684e-12
Stim C3,201,HbR,-6.179865855798736e-13
Stim C3,202,HbO,5.466235282537138e-15
Stim C3,202,HbR,-2.186494113014855e-15
Stim C3,203,HbO,2.7327764167901633e-12
Stim C3,203,HbR,-1.0931105667160654e-12
Stim C3,204,HbO,2.969454227877554e-12
Stim C3,204,HbR,-1.1877816911510215e-12
Stim C3,205,HbO,5.817289737921581e-12
Stim C3,205,HbR,-2.3269158951686327e-12
Stim C3,206,HbO,7.159689536946396e-12
Stim C3,206,HbR,-2.8638758147785588e-12
Stim C3,207,HbO,1.8444516781361535e-15
Stim C3,207,HbR,-7.377806712544614e-16
Stim C3,208,HbO,5.205931125001465e-12
Stim C3,208,HbR,-2.0823724500005856e-12
Stim C3,209,HbO,4.71980049004897e-14
Stim C3,209,HbR,-1.8879201960195883e-14
Stim C3,210,HbO,4.379483432675613e-14
Stim C3,210,HbR,-1.7517933730702454e-14
Stim C3,211,HbO,1.145786914354718e-13
Stim C3,211,HbR,-4.583147657418873e-14
Stim C3,212,HbO,2.71351049361338e-12
Stim C3,212,HbR,-1.0854041974453522e-12
Stim C3,213,HbO,7.215991086213473e-13
Stim C3,213,HbR,-2.886396434485389e-13
Stim C3,214,HbO,2.106197393985531e-20
Stim C3,214,HbR,-8.424789575942123e-21
Stim C3,215,HbO,5.306389820051217e-15
Stim C3,215,HbR,-2.1225559280204867e-15
Stim C3,216,HbO,1.296946735313884e-15
Stim C3,216,HbR,-5.187786941255537e-16
Stim C3,217,HbO,1.2452832844646713e-16
Stim C3,217,HbR,-4.981133137858685e-17
Stim C3,218,HbO,1.5240566585404045e-16
Stim C3,218,HbR,-6.096226634161618e-17
Stim C3,219,HbO,1.7821899733693006e-20
Stim C3,219,HbR,-7.128759893477205e-21
Stim C3,220,HbO,1.9180910511389714e-16
Stim C3,220,HbR,-7.672364204555885e-17
Stim C3,221,HbO,9.815968994275305e-17
Stim C3,221,HbR,-3.926387597710123e-17
Stim C3,222,HbO,1.588532162306935e-17
Stim C3,222,HbR,-6.3541286492277396e-18
Stim C3,223,HbO,1.3327346535316475e-20
Stim C3,223,HbR,-5.3309386141265906e-21
Stim C3,224,HbO,2.4103486166602587e-17
Stim C3,224,HbR,-9.641394466641034e-18
Stim C3,225,HbO,4.107002922287398e-18
